,Source,Destination,Weight
2968, Abdominal Pain, Numbness of limbs,1.0
2969, Nausea, Cramping sensation quality,17.0
2970, Nausea, headache severe,10.0
2971, Nausea, Overweight,13.0
2972, Nausea, gastrointestinal gas,28.0
2973, Nausea, Sore Throat,8.0
2974, Nausea, Low Back Pain,9.0
2975, Nausea, Sore to touch,36.0
2976, Nausea, Clouded consciousness,27.0
2977, Nausea, Dizziness,162.0
2978, Nausea, Muscle Cramp,43.0
2979, Nausea, Sharp pain,11.0
2980, Nausea, physical symptom,4.0
2981, Nausea, Tired,78.0
2982, Nausea, Fatigue,93.0
2983, Nausea, Abdominal bloating,45.0
2984, Nausea, Myalgia,24.0
2985, Nausea, Coughing,23.0
2986, Nausea, blotch,1.0
2987, Nausea, Severe diarrhea,5.0
2988, Nausea, Upset stomach,27.0
2989, Nausea, Stomach cramps,10.0
2990, Nausea, Influenza-like symptoms,9.0
2991, Nausea, Rhinorrhea,9.0
2992, Nausea, Malaise,56.0
2993, Nausea, Blood in stool,4.0
2994, Nausea, Decreased Libido,1.0
2995, Nausea, sore back,3.0
2996, Nausea, Heartburn,23.0
2997, Nausea, Moderate pain,1.0
2998, Nausea, Breathing abnormally deep,3.0
2999, Nausea, Mastodynia,2.0
3000, Nausea, Chest pressure,3.0
3001, Nausea, Chest Pain,19.0
3002, Nausea, Hot flushes,13.0
3003, Nausea, Spasm,7.0
3004, Nausea, HEART PROBLEM,1.0
3005, Nausea, Shoulder Pain,1.0
3006, Nausea, Vaginal pain,2.0
3007, Nausea, Dyspnea,17.0
3008, Nausea, Ache,23.0
3009, Nausea, Right sided abdominal pain,3.0
3010, Nausea, Lower abdominal pain,2.0
3011, Nausea, Nervousness,19.0
3012, Nausea, Vomiting,101.0
3013, Nausea, back symptoms,3.0
3014, Nausea, Sore mouth,3.0
3015, Nausea, Exhaustion,20.0
3016, Nausea, Hunger,25.0
3017, Nausea, Depressed - symptom,14.0
3018, Nausea, Sleeplessness,27.0
3019, Nausea, Swallowing problem,1.0
3020, Nausea, Syncope,24.0
3021, Nausea, spells,13.0
3022, Nausea, Flatulence,8.0
3023, Nausea, Flushing,9.0
3024, Nausea, side pain,11.0
3025, Nausea, Dry skin,4.0
3026, Nausea, pregnancy signs,3.0
3027, Nausea, Has tingling sensation,26.0
3028, Nausea, Mass of body region,2.0
3029, Nausea, Lethargy,11.0
3030, Nausea, Menstrual spotting,11.0
3031, Nausea, Dyspepsia,6.0
3032, Nausea, Normal bowel habits,2.0
3033, Nausea, Stabbing pain,6.0
3034, Nausea, Loose stool,17.0
3035, Nausea, Tremor,43.0
3036, Nausea, Watery eyes,2.0
3037, Nausea, Nerve Pain,5.0
3038, Nausea, Perceived quality of life,4.0
3039, Nausea, Neck stiffness,9.0
3040, Nausea, Chest tightness,8.0
3041, Nausea, Chills,25.0
3042, Nausea, Signs and Symptoms,10.0
3043, Nausea, Acid reflux SYMPTOMS,1.0
3044, Nausea, Eructation,21.0
3045, Nausea, Arthralgia,21.0
3046, Nausea, nausea chronic,1.0
3047, Nausea, BODY ACHE,13.0
3048, Nausea, Seizures,25.0
3049, Nausea, Upper back pain,4.0
3050, Nausea, Pelvic Pain,3.0
3051, Nausea, irregular bleeding,1.0
3052, Nausea, intestinal pain,3.0
3053, Nausea, Fluctuation,1.0
3054, Nausea, Nasal congestion,3.0
3055, Nausea, Mittelschmerz,1.0
3056, Nausea, blotchy,2.0
3057, Nausea, Back Pain,36.0
3058, Nausea, Vertigo,20.0
3059, Nausea, uti symptoms,2.0
3060, Nausea, Feeling Sick,14.0
3061, Nausea, lump in throat,7.0
3062, Nausea, Dull pain,6.0
3063, Nausea, Feeling strange,2.0
3064, Nausea, Kidney problem,2.0
3065, Nausea, digestive problem,4.0
3066, Nausea, Muscular stiffness,7.0
3067, Nausea, Renal pain,2.0
3068, Nausea, light bleeding between periods,2.0
3069, Nausea, Dysuria,1.0
3070, Nausea, Palpitations - fluttering,1.0
3071, Nausea, Lightheadedness,31.0
3072, Nausea, Excruciating pain,2.0
3073, Nausea, gas in stomach,1.0
3074, Nausea, Neck Pain,10.0
3075, Nausea, Cold sweat,4.0
3076, Nausea, Throbbing pain,1.0
3077, Nausea, Pain| Burning,6.0
3078, Nausea, rundown,4.0
3079, Nausea, Acute onset pain,4.0
3080, Nausea, Dull chest pain,1.0
3081, Nausea, Arm Pain,3.0
3082, Nausea, Numbness,13.0
3083, Nausea, Flare,2.0
3084, Nausea, sick to stomach,8.0
3085, Nausea, Inguinal pain,2.0
3086, Nausea, sharp chest pain,1.0
3087, Nausea, Cardiovascular symptoms,3.0
3088, Nausea, Difficulty sleeping,1.0
3089, Nausea, Abdominal discomfort,3.0
3090, Nausea, Night sweats,8.0
3091, Nausea, Pain in the coccyx,1.0
3092, Nausea, Unspecified visual loss,1.0
3093, Nausea, Feeling tired,3.0
3094, Nausea, Hangover from any Alcohol or Other Drugs substance,2.0
3095, Nausea, Stiffness,5.0
3096, Nausea, Sighing respiration,1.0
3097, Nausea, Blackout - symptom,5.0
3098, Nausea, feeling dizzy,8.0
3099, Nausea, bloated feeling,1.0
3100, Nausea, Chronic pain,7.0
3101, Nausea, out,1.0
3102, Nausea, Gasping for breath,1.0
3103, Nausea, Upper abdominal pain,4.0
3104, Nausea, Nightmares,10.0
3105, Nausea, Imbalance,1.0
3106, Nausea, Excessive upper gastrointestinal gas,1.0
3107, Nausea, Dryness of eye,2.0
3108, Nausea, Pounding heart,5.0
3109, Nausea, Pain in left arm,2.0
3110, Nausea, Night pain,3.0
3111, Nausea, Nausea and vomiting,5.0
3112, Nausea, Retching,2.0
3113, Nausea, Frontal headache,1.0
3114, Nausea, Trembling,2.0
3115, Nausea, Blurred vision,18.0
3116, Nausea, Intermittent pain,1.0
3117, Nausea, worse headaches,1.0
3118, Nausea, Chronic back pain,2.0
3119, Nausea, Hip pain,4.0
3120, Nausea, Eye pain,1.0
3121, Nausea, Pain in elbow,2.0
3122, Nausea, taste salty,1.0
3123, Nausea, Feeling nervous,2.0
3124, Nausea, Bone pain,1.0
3125, Nausea, back pain mid back,1.0
3126, Nausea, Agitation,10.0
3127, Nausea, Photopsia,2.0
3128, Nausea, Shooting pain,2.0
3129, Nausea, Continuing headache,1.0
3130, Nausea, head pressure,14.0
3131, Nausea, Twitching eye,1.0
3132, Nausea, throat burning sensation of,1.0
3133, Nausea, Welts,3.0
3134, Nausea, feeling run down,1.0
3135, Nausea, Feeling feverish,1.0
3136, Nausea, Toothache,1.0
3137, Nausea, Cachexia,2.0
3138, Nausea, severe back pain,2.0
3139, Nausea, Joint swelling,1.0
3140, Nausea, Symptom Flare Up,1.0
3141, Nausea, Hand pain,1.0
3142, Nausea, Actual Discomfort,1.0
3143, Nausea, Increased sweating,3.0
3144, Nausea, Muscle Weakness,4.0
3145, Nausea, Pain in lower limb,4.0
3146, Nausea, Withdrawal Symptoms,23.0
3147, Nausea, Sleep disturbances,1.0
3148, Nausea, Photophobia,6.0
3149, Nausea, Sciatica,2.0
3150, Nausea, Foot pain,2.0
3151, Nausea, Scapulalgia,2.0
3152, Nausea, Digestive symptom,2.0
3153, Nausea, Earache,4.0
3154, Nausea, Prickling sensation,1.0
3155, Nausea, Abnormal sensation,2.0
3156, Nausea, Posterior rhinorrhea,4.0
3157, Nausea, Right lower quadrant pain,1.0
3158, Nausea, Ovarian pain,2.0
3159, Nausea, Feeling despair,1.0
3160, Nausea, slight fever,2.0
3161, Nausea, Felt faint,2.0
3162, Nausea, Pain in right leg,2.0
3163, Nausea, Burning tongue,1.0
3164, Nausea, Wheezing,1.0
3165, Nausea, Facial Pain,3.0
3166, Nausea, unable to focus,1.0
3167, Nausea, sinus pressure,3.0
3168, Nausea, Aural pressure,2.0
3169, Nausea, Productive cough,1.0
3170, Nausea, Sore eye,1.0
3171, Nausea, clogged ear,1.0
3172, Nausea, bumps tongue,1.0
3173, Nausea, Ankle pain,2.0
3174, Nausea, Spasmodic movement,1.0
3175, Nausea, Paresthesia of hand,1.0
3176, Nausea, Leg cramps,1.0
3177, Nausea, Burning feet,9.0
3178, Nausea, Snoring,1.0
3179, Nausea, Redness of face,2.0
3180, Nausea, Mydriasis,1.0
3181, Nausea, Neuralgia,2.0
3182, Nausea, Shoulder stiff,1.0
3183, Nausea, Dry cough,3.0
3184, Nausea, Pruritus of scalp,1.0
3185, Nausea, pain during injection,1.0
3186, Nausea, Primary Thunderclap Headache,1.0
3187, Nausea, Unbearable Pain,1.0
3188, Nausea, impending doom,1.0
3189, Nausea, Sinus pain,4.0
3190, Nausea, Feeling of loss of feeling,1.0
3191, Nausea, Severe vertigo,4.0
3192, Nausea, Depressive Symptoms,4.0
3193, Nausea, Pain| Postoperative,1.0
3194, Nausea, Pain in joint| forearm,1.0
3195, Nausea, Memory Loss,3.0
3196, Nausea, weight gain problem,2.0
3197, Nausea, Hallucinations| Visual,1.0
3198, Nausea, Knee stiff,1.0
3199, Nausea, Cushingoid facies,1.0
3200, Nausea, Muscular fasciculation,1.0
3201, Nausea, Jaw pain,4.0
3202, Nausea, Apathy,1.0
3203, Nausea, Muscle Rigidity,1.0
3204, Nausea, Congestion of nasal sinus,1.0
3205, Nausea, pain between shoulder blades,1.0
3206, Nausea, Morning headache,1.0
3207, Nausea, Right sided chest pain,1.0
3208, Nausea, Diarrhea and vomiting| symptom,3.0
3209, Nausea, neck Muscle Tension,1.0
3210, Nausea, recurrent muscle twitches,2.0
3211, Nausea, Forgetful,4.0
3212, Nausea, stomach burning sensation of,2.0
3213, Nausea, Numbness of foot,1.0
3214, Nausea, Tenderness of gums,1.0
3215, Nausea, exercise induced,1.0
3216, Nausea, allergic symptom,1.0
3217, Nausea, Cerebellar Ataxia,1.0
3218, Nausea, Neck cramps,1.0
3219, Nausea, Abnormal coordination,1.0
3220, Nausea, Muscle Spasticity,2.0
3221, Nausea, Visual disturbance,2.0
3222, Nausea, Feeling Cold,2.0
3223, Nausea, Flasher - visual manifestation,1.0
3224, Nausea, General symptom,1.0
3225, Nausea, Vertigo| Constant,2.0
3226, Nausea, Chronic cough,1.0
3227, Nausea, Taste| Metallic,4.0
3228, Nausea, electric shock sensation,2.0
3229, Nausea, Pain of lymph node,1.0
3230, Nausea, Thirsty,3.0
3231, Nausea, Urinary symptoms,1.0
3232, Nausea, ENT symptoms,1.0
3233, Nausea, Skin symptom,1.0
3234, Nausea, cold hands & feet,1.0
3235, Nausea, Thick skin,1.0
3236, Nausea, Flank Pain,2.0
3237, Nausea, Pain in spine,2.0
3238, Nausea, Bladder pain,1.0
3239, Nausea, Clubbing,8.0
3240, Nausea, Numbness of face,2.0
3241, Nausea, Glossalgia,2.0
3242, Nausea, Severe dry skin,1.0
3243, Nausea, painful rt shoulder,1.0
3244, Nausea, vomiting of medication,1.0
3245, Nausea, signs and symptoms of ill-defined conditions,1.0
3246, Nausea, convulsed,1.0
3247, Nausea, SHOULDER TENDERNESS,1.0
3248, Nausea, Scalp pain,1.0
3249, Nausea, muscle cramps in the calf,1.0
3250, Nausea, Breast tenderness,4.0
3251, Nausea, sour stomach,1.0
3252, Nausea, Difficulty passing urine,2.0
3253, Nausea, Carbohydrate craving,1.0
3254, Nausea, Pain in finger,2.0
3255, Nausea, Numbness of limbs,3.0
3256, Nausea, Upper Extremity Paresis,1.0
3257, Nausea, Death anxiety,1.0
3258, Cramping sensation quality, Overweight,1.0
3259, Cramping sensation quality, gastrointestinal gas,7.0
3260, Cramping sensation quality, Low Back Pain,3.0
3261, Cramping sensation quality, Sore to touch,11.0
3262, Cramping sensation quality, Clouded consciousness,3.0
3263, Cramping sensation quality, Dizziness,7.0
3264, Cramping sensation quality, Muscle Cramp,20.0
3265, Cramping sensation quality, Sharp pain,3.0
3266, Cramping sensation quality, Tired,4.0
3267, Cramping sensation quality, Fatigue,7.0
3268, Cramping sensation quality, Abdominal bloating,13.0
3269, Cramping sensation quality, Myalgia,2.0
3270, Cramping sensation quality, Coughing,1.0
3271, Cramping sensation quality, Severe diarrhea,1.0
3272, Cramping sensation quality, Upset stomach,3.0
3273, Cramping sensation quality, Stomach cramps,3.0
3274, Cramping sensation quality, Malaise,8.0
3275, Cramping sensation quality, Heartburn,2.0
3276, Cramping sensation quality, Breathing abnormally deep,1.0
3277, Cramping sensation quality, Chest pressure,1.0
3278, Cramping sensation quality, Chest Pain,2.0
3279, Cramping sensation quality, Hot flushes,1.0
3280, Cramping sensation quality, Spasm,2.0
3281, Cramping sensation quality, Ache,8.0
3282, Cramping sensation quality, Lower abdominal pain,1.0
3283, Cramping sensation quality, Nervousness,3.0
3284, Cramping sensation quality, Vomiting,6.0
3285, Cramping sensation quality, Exhaustion,3.0
3286, Cramping sensation quality, Hunger,4.0
3287, Cramping sensation quality, Depressed - symptom,2.0
3288, Cramping sensation quality, spells,1.0
3289, Cramping sensation quality, Flatulence,1.0
3290, Cramping sensation quality, Flushing,1.0
3291, Cramping sensation quality, side pain,3.0
3292, Cramping sensation quality, Dry skin,1.0
3293, Cramping sensation quality, Has tingling sensation,2.0
3294, Cramping sensation quality, Lethargy,1.0
3295, Cramping sensation quality, Menstrual spotting,10.0
3296, Cramping sensation quality, Dyspepsia,1.0
3297, Cramping sensation quality, Stabbing pain,4.0
3298, Cramping sensation quality, Tremor,1.0
3299, Cramping sensation quality, Perceived quality of life,1.0
3300, Cramping sensation quality, Signs and Symptoms,2.0
3301, Cramping sensation quality, Eructation,1.0
3302, Cramping sensation quality, Arthralgia,2.0
3303, Cramping sensation quality, Seizures,1.0
3304, Cramping sensation quality, Pelvic Pain,5.0
3305, Cramping sensation quality, intestinal pain,1.0
3306, Cramping sensation quality, Nasal congestion,1.0
3307, Cramping sensation quality, Mittelschmerz,1.0
3308, Cramping sensation quality, Back Pain,12.0
3309, Cramping sensation quality, lump in throat,1.0
3310, Cramping sensation quality, Dull pain,1.0
3311, Cramping sensation quality, Feeling strange,2.0
3312, Cramping sensation quality, digestive problem,2.0
3313, Cramping sensation quality, Muscular stiffness,2.0
3314, Cramping sensation quality, light bleeding between periods,2.0
3315, Cramping sensation quality, Dysuria,1.0
3316, Cramping sensation quality, Cold sweat,1.0
3317, Cramping sensation quality, Throbbing pain,2.0
3318, Cramping sensation quality, Pain| Burning,1.0
3319, Cramping sensation quality, Scalding pain on urination,1.0
3320, Cramping sensation quality, Numbness,1.0
3321, Cramping sensation quality, Pain in urethra,1.0
3322, Cramping sensation quality, Night sweats,1.0
3323, Cramping sensation quality, Gurgling,1.0
3324, Cramping sensation quality, Knee pain,1.0
3325, Cramping sensation quality, Stiffness,1.0
3326, Cramping sensation quality, Sighing respiration,1.0
3327, Cramping sensation quality, tingling in fingers,1.0
3328, Cramping sensation quality, Deep pain,1.0
3329, Cramping sensation quality, Retching,1.0
3330, Cramping sensation quality, Growing pains,1.0
3331, Cramping sensation quality, Agitation,2.0
3332, Cramping sensation quality, Shooting pain,1.0
3333, Cramping sensation quality, severe back pain,2.0
3334, Cramping sensation quality, Withdrawal Symptoms,1.0
3335, Cramping sensation quality, Foot pain,1.0
3336, Cramping sensation quality, weight problem,1.0
3337, Cramping sensation quality, Abdominal wind pain,1.0
3338, Cramping sensation quality, Pain in right leg,1.0
3339, Cramping sensation quality, Leg cramps,2.0
3340, Cramping sensation quality, Neuralgia,1.0
3341, Cramping sensation quality, Pruritus of scalp,1.0
3342, Cramping sensation quality, Spots on skin,1.0
3343, Cramping sensation quality, peri-menopausal,1.0
3344, Cramping sensation quality, Forgetful,1.0
3345, Cramping sensation quality, Muscle Spasticity,2.0
3346, Cramping sensation quality, electric shock sensation,1.0
3347, Cramping sensation quality, Flank Pain,1.0
3348, Cramping sensation quality, Pain in calf,2.0
3349, Cramping sensation quality, Seizures| Focal,1.0
3350, Cramping sensation quality, cramp in lower abdomen,1.0
3351, Cramping sensation quality, muscle cramps in the calf,1.0
3352, Cramping sensation quality, Breast tenderness,2.0
3353, Cramping sensation quality, change,1.0
3354, Cramping sensation quality, Altered bowel function,1.0
3355, Cramping sensation quality, Myofacial Pain,1.0
3356, headache severe, gastrointestinal gas,1.0
3357, headache severe, Low Back Pain,1.0
3358, headache severe, Sore to touch,2.0
3359, headache severe, Clouded consciousness,3.0
3360, headache severe, Dizziness,4.0
3361, headache severe, Tired,8.0
3362, headache severe, Fatigue,7.0
3363, headache severe, Myalgia,3.0
3364, headache severe, Coughing,3.0
3365, headache severe, Upset stomach,1.0
3366, headache severe, Influenza-like symptoms,1.0
3367, headache severe, Malaise,7.0
3368, headache severe, Chest Pain,1.0
3369, headache severe, Spasm,1.0
3370, headache severe, Shoulder Pain,3.0
3371, headache severe, Dyspnea,1.0
3372, headache severe, Ache,3.0
3373, headache severe, Nervousness,1.0
3374, headache severe, Vomiting,3.0
3375, headache severe, Exhaustion,4.0
3376, headache severe, Sleeplessness,3.0
3377, headache severe, spells,1.0
3378, headache severe, Flushing,2.0
3379, headache severe, side pain,1.0
3380, headache severe, Has tingling sensation,3.0
3381, headache severe, Lethargy,1.0
3382, headache severe, Tremor,3.0
3383, headache severe, Nerve Pain,1.0
3384, headache severe, Neck stiffness,2.0
3385, headache severe, Signs and Symptoms,2.0
3386, headache severe, Eructation,1.0
3387, headache severe, Arthralgia,2.0
3388, headache severe, BODY ACHE,4.0
3389, headache severe, Seizures,2.0
3390, headache severe, Back Pain,3.0
3391, headache severe, Feeling Sick,1.0
3392, headache severe, Muscular stiffness,3.0
3393, headache severe, Excruciating pain,2.0
3394, headache severe, Neck Pain,3.0
3395, headache severe, Throbbing pain,1.0
3396, headache severe, Arm Pain,1.0
3397, headache severe, Numbness,1.0
3398, headache severe, Flare,1.0
3399, headache severe, sharp chest pain,1.0
3400, headache severe, Pain in forearm,1.0
3401, headache severe, Knee pain,1.0
3402, headache severe, Nightmares,1.0
3403, headache severe, Blurred vision,1.0
3404, headache severe, Eye pain,1.0
3405, headache severe, Swollen legs,1.0
3406, headache severe, Agitation,2.0
3407, headache severe, Photopsia,1.0
3408, headache severe, severe back pain,1.0
3409, headache severe, Shallow breathing,1.0
3410, headache severe, Increased sweating,1.0
3411, headache severe, Pain in lower limb,2.0
3412, headache severe, Withdrawal Symptoms,2.0
3413, headache severe, Sleep disturbances,1.0
3414, headache severe, Earache,1.0
3415, headache severe, Prickling sensation,1.0
3416, headache severe, clogged ear,1.0
3417, headache severe, Paresthesia of hand,2.0
3418, headache severe, Snoring,1.0
3419, headache severe, Paresis,2.0
3420, headache severe, headache persistent,2.0
3421, headache severe, Burning sensation of leg,2.0
3422, headache severe, Clumsiness,3.0
3423, headache severe, Altered sensation of skin,2.0
3424, headache severe, Memory Loss,2.0
3425, headache severe, Decrease in appetite,1.0
3426, headache severe, Jaw pain,1.0
3427, headache severe, Morning headache,1.0
3428, headache severe, Abnormal coordination,1.0
3429, headache severe, Pain in spine,1.0
3430, headache severe, Abnormal heart beat,1.0
3431, headache severe, Pain in finger,1.0
3432, Overweight, gastrointestinal gas,1.0
3433, Overweight, Sore Throat,1.0
3434, Overweight, Low Back Pain,3.0
3435, Overweight, Sore to touch,5.0
3436, Overweight, Clouded consciousness,6.0
3437, Overweight, Dizziness,6.0
3438, Overweight, Muscle Cramp,2.0
3439, Overweight, Sharp pain,1.0
3440, Overweight, physical symptom,1.0
3441, Overweight, Tired,15.0
3442, Overweight, Fatigue,15.0
3443, Overweight, Abdominal bloating,3.0
3444, Overweight, Myalgia,3.0
3445, Overweight, Coughing,4.0
3446, Overweight, Stomach cramps,1.0
3447, Overweight, Influenza-like symptoms,1.0
3448, Overweight, Rhinorrhea,1.0
3449, Overweight, Malaise,8.0
3450, Overweight, Pain in testicle,1.0
3451, Overweight, Pain in penis,1.0
3452, Overweight, Heartburn,4.0
3453, Overweight, Breathing abnormally deep,1.0
3454, Overweight, Mastodynia,2.0
3455, Overweight, Chest Pain,4.0
3456, Overweight, Hot flushes,2.0
3457, Overweight, HEART PROBLEM,1.0
3458, Overweight, Dyspnea,2.0
3459, Overweight, Ache,5.0
3460, Overweight, Nervousness,3.0
3461, Overweight, Vomiting,3.0
3462, Overweight, Exhaustion,6.0
3463, Overweight, Hunger,7.0
3464, Overweight, Depressed - symptom,4.0
3465, Overweight, Sleeplessness,3.0
3466, Overweight, Syncope,5.0
3467, Overweight, spells,1.0
3468, Overweight, Flatulence,1.0
3469, Overweight, Has tingling sensation,7.0
3470, Overweight, Lethargy,1.0
3471, Overweight, Dyspepsia,2.0
3472, Overweight, Normal bowel habits,1.0
3473, Overweight, Tremor,2.0
3474, Overweight, Watery eyes,1.0
3475, Overweight, Nerve Pain,3.0
3476, Overweight, Perceived quality of life,2.0
3477, Overweight, Chest tightness,1.0
3478, Overweight, Signs and Symptoms,5.0
3479, Overweight, Eructation,6.0
3480, Overweight, Arthralgia,8.0
3481, Overweight, Seizures,4.0
3482, Overweight, Upper back pain,1.0
3483, Overweight, Fluctuation,1.0
3484, Overweight, Back Pain,8.0
3485, Overweight, Vertigo,1.0
3486, Overweight, Feeling Sick,1.0
3487, Overweight, Dull pain,2.0
3488, Overweight, Muscular stiffness,1.0
3489, Overweight, Lightheadedness,2.0
3490, Overweight, Neck Pain,1.0
3491, Overweight, Cold sweat,1.0
3492, Overweight, rundown,1.0
3493, Overweight, Numbness,7.0
3494, Overweight, Flare,2.0
3495, Overweight, sick to stomach,1.0
3496, Overweight, Change in voice,1.0
3497, Overweight, Inguinal pain,1.0
3498, Overweight, Chest discomfort,1.0
3499, Overweight, Gurgling,1.0
3500, Overweight, Stiffness,1.0
3501, Overweight, feeling dizzy,1.0
3502, Overweight, out,1.0
3503, Overweight, Gasping for breath,1.0
3504, Overweight, Nausea and vomiting,1.0
3505, Overweight, Blurred vision,3.0
3506, Overweight, Intermittent pain,1.0
3507, Overweight, Growing pains,1.0
3508, Overweight, Bone pain,1.0
3509, Overweight, Agitation,2.0
3510, Overweight, Edema of foot,1.0
3511, Overweight, Buzzing in ear,1.0
3512, Overweight, Rales,2.0
3513, Overweight, Twitching eye,1.0
3514, Overweight, throat burning sensation of,1.0
3515, Overweight, Welts,1.0
3516, Overweight, Actual Discomfort,2.0
3517, Overweight, Increased sweating,1.0
3518, Overweight, Pain in lower limb,2.0
3519, Overweight, Withdrawal Symptoms,2.0
3520, Overweight, Sciatica,1.0
3521, Overweight, Foot pain,1.0
3522, Overweight, Scapulalgia,1.0
3523, Overweight, Halitosis,1.0
3524, Overweight, Posterior rhinorrhea,1.0
3525, Overweight, Feeling despair,1.0
3526, Overweight, ear popping,1.0
3527, Overweight, Wheezing,1.0
3528, Overweight, sinus pressure,1.0
3529, Overweight, Aural pressure,1.0
3530, Overweight, Spasmodic movement,1.0
3531, Overweight, Leg cramps,1.0
3532, Overweight, Psychiatric symptom,1.0
3533, Overweight, Pruritus of scalp,1.0
3534, Overweight, Memory Loss,2.0
3535, Overweight, Pain in wrist,1.0
3536, Overweight, charmed,2.0
3537, Overweight, Forgetful,3.0
3538, Overweight, Pharyngeal dryness,1.0
3539, Overweight, Generalized fatigue,1.0
3540, Overweight, Other fatigue,1.0
3541, Overweight, Thirsty,2.0
3542, Overweight, Glossalgia,1.0
3543, Overweight, convulsed,1.0
3544, Overweight, vein pain,1.0
3545, Overweight, unwanted hair,1.0
3546, gastrointestinal gas, Sore to touch,2.0
3547, gastrointestinal gas, Clouded consciousness,3.0
3548, gastrointestinal gas, Dizziness,7.0
3549, gastrointestinal gas, Muscle Cramp,6.0
3550, gastrointestinal gas, Sharp pain,1.0
3551, gastrointestinal gas, Tired,7.0
3552, gastrointestinal gas, Fatigue,7.0
3553, gastrointestinal gas, Abdominal bloating,40.0
3554, gastrointestinal gas, Myalgia,2.0
3555, gastrointestinal gas, blotch,1.0
3556, gastrointestinal gas, Severe diarrhea,2.0
3557, gastrointestinal gas, Upset stomach,4.0
3558, gastrointestinal gas, Stomach cramps,3.0
3559, gastrointestinal gas, Influenza-like symptoms,1.0
3560, gastrointestinal gas, Malaise,6.0
3561, gastrointestinal gas, Blood in stool,1.0
3562, gastrointestinal gas, Pain in testicle,1.0
3563, gastrointestinal gas, Heartburn,14.0
3564, gastrointestinal gas, Moderate pain,1.0
3565, gastrointestinal gas, Breathing abnormally deep,2.0
3566, gastrointestinal gas, Mastodynia,1.0
3567, gastrointestinal gas, Chest pressure,1.0
3568, gastrointestinal gas, Chest Pain,3.0
3569, gastrointestinal gas, Spasm,1.0
3570, gastrointestinal gas, HEART PROBLEM,2.0
3571, gastrointestinal gas, Dyspnea,3.0
3572, gastrointestinal gas, Right sided abdominal pain,1.0
3573, gastrointestinal gas, Nervousness,3.0
3574, gastrointestinal gas, Vomiting,13.0
3575, gastrointestinal gas, Exhaustion,1.0
3576, gastrointestinal gas, Hunger,2.0
3577, gastrointestinal gas, Depressed - symptom,2.0
3578, gastrointestinal gas, Sleeplessness,2.0
3579, gastrointestinal gas, Flatulence,4.0
3580, gastrointestinal gas, Flushing,2.0
3581, gastrointestinal gas, side pain,3.0
3582, gastrointestinal gas, Has tingling sensation,1.0
3583, gastrointestinal gas, Lethargy,1.0
3584, gastrointestinal gas, Menstrual spotting,1.0
3585, gastrointestinal gas, Dyspepsia,3.0
3586, gastrointestinal gas, Stabbing pain,1.0
3587, gastrointestinal gas, Loose stool,4.0
3588, gastrointestinal gas, Tremor,6.0
3589, gastrointestinal gas, Nerve Pain,1.0
3590, gastrointestinal gas, Perceived quality of life,1.0
3591, gastrointestinal gas, Chest tightness,1.0
3592, gastrointestinal gas, Signs and Symptoms,2.0
3593, gastrointestinal gas, Acid reflux SYMPTOMS,2.0
3594, gastrointestinal gas, Eructation,18.0
3595, gastrointestinal gas, Arthralgia,2.0
3596, gastrointestinal gas, Seizures,2.0
3597, gastrointestinal gas, Pelvic Pain,1.0
3598, gastrointestinal gas, intestinal pain,1.0
3599, gastrointestinal gas, Back Pain,4.0
3600, gastrointestinal gas, Vertigo,2.0
3601, gastrointestinal gas, Dull pain,1.0
3602, gastrointestinal gas, Feeling strange,1.0
3603, gastrointestinal gas, digestive problem,3.0
3604, gastrointestinal gas, light bleeding between periods,1.0
3605, gastrointestinal gas, Lightheadedness,2.0
3606, gastrointestinal gas, gas in stomach,2.0
3607, gastrointestinal gas, Pain| Burning,1.0
3608, gastrointestinal gas, Numbness,1.0
3609, gastrointestinal gas, sick to stomach,3.0
3610, gastrointestinal gas, Abdominal discomfort,1.0
3611, gastrointestinal gas, chest burning,1.0
3612, gastrointestinal gas, Gurgling,3.0
3613, gastrointestinal gas, pain with eating,1.0
3614, gastrointestinal gas, feeling dizzy,1.0
3615, gastrointestinal gas, Upper abdominal pain,1.0
3616, gastrointestinal gas, Nightmares,2.0
3617, gastrointestinal gas, Excessive upper gastrointestinal gas,1.0
3618, gastrointestinal gas, Blurred vision,2.0
3619, gastrointestinal gas, Miserable Pain,1.0
3620, gastrointestinal gas, Photopsia,1.0
3621, gastrointestinal gas, Shooting pain,1.0
3622, gastrointestinal gas, Rales,1.0
3623, gastrointestinal gas, Feeling feverish,1.0
3624, gastrointestinal gas, Increased sweating,1.0
3625, gastrointestinal gas, Muscle Weakness,1.0
3626, gastrointestinal gas, Sciatica,1.0
3627, gastrointestinal gas, Earache,1.0
3628, gastrointestinal gas, Posterior rhinorrhea,1.0
3629, gastrointestinal gas, Abdominal wind pain,5.0
3630, gastrointestinal gas, Rib pain,1.0
3631, gastrointestinal gas, Spasmodic movement,1.0
3632, gastrointestinal gas, pain during injection,1.0
3633, gastrointestinal gas, Depressive Symptoms,1.0
3634, gastrointestinal gas, Muscular fasciculation,1.0
3635, gastrointestinal gas, Right sided chest pain,1.0
3636, gastrointestinal gas, charmed,1.0
3637, gastrointestinal gas, BREAST PAIN FEMALE,1.0
3638, gastrointestinal gas, room spinning,1.0
3639, gastrointestinal gas, Taste| Metallic,1.0
