Postnumber, Diseaseid, DiseaseName3, 'C0032064', 'Plague');
8, 'C0036916', 'Sexually Transmitted Diseases');
11462, 'C0028754', 'Obesity');
11463, 'C0027051', 'Myocardial Infarction');
11464, 'C0022104', 'Irritable Bowel Syndrome');
11465, 'C0022104', 'Irritable Bowel Syndrome');
11474, 'C0017152', 'Gastritis');
11476, 'C0022104', 'Irritable Bowel Syndrome');
11480, 'C3539909', 'Allergic disposition');
11487, 'C0042029', 'Urinary tract infection');
11489, 'C0262655', 'Recurrent urinary tract infection');
11498, 'C0012634', 'Disease');
11507, 'C0026850', 'Muscular Dystrophy');
11508, 'C0019360', 'Herpes zoster disease');
11516, 'C0042109', 'Urticaria');
11518, 'C0152010', 'Withdrawal bleeding');
11520, 'C0149931', 'Migraine Disorders');
11525, 'C0017168', 'Gastroesophageal reflux disease');
11541, 'C0033893', 'Tension Headache');
11544, 'C0035258', 'Restless Legs Syndrome');
11553, 'C0013182', 'Drug Allergy');
11563, 'C0021400', 'Influenza');
11568, 'C0020624', 'Hypomenorrhea');
11569, 'C0009450', 'Communicable Diseases');
11570, 'C0029408', 'Degenerative polyarthritis');
11571, 'C0029408', 'Degenerative polyarthritis');
11573, 'C0011119', 'Decompression Sickness');
11574, 'C0029408', 'Degenerative polyarthritis');
11576, 'C0029408', 'Degenerative polyarthritis');
11577, 'C0029408', 'Degenerative polyarthritis');
11578, 'C0029408', 'Degenerative polyarthritis');
11581, 'C0028754', 'Obesity');
11582, 'C0041912', 'Upper Respiratory Infections');
11583, 'C0028754', 'Obesity');
11584, 'C0270724', 'Infantile Neuroaxonal Dystrophy');
11586, 'C0277556', 'Recurrent disease');
11587, 'C0035258', 'Restless Legs Syndrome');
11589, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11596, 'C0028754', 'Obesity');
11597, 'C0028754', 'Obesity');
11599, 'C0028754', 'Obesity');
11600, 'C2316212', 'Cryopyrin-Associated Periodic Syndromes');
11601, 'C0028754', 'Obesity');
11602, 'C0014518', 'Toxic Epidermal Necrolysis');
11607, 'C0003123', 'Anorexia');
11608, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11609, 'C0149931', 'Migraine Disorders');
11611, 'C0028754', 'Obesity');
11616, 'C0149931', 'Migraine Disorders');
11617, 'C0149931', 'Migraine Disorders');
11619, 'C0149931', 'Migraine Disorders');
11620, 'C0149931', 'Migraine Disorders');
11621, 'C0149931', 'Migraine Disorders');
11622, 'C0149931', 'Migraine Disorders');
11623, 'C0149931', 'Migraine Disorders');
11624, 'C0149931', 'Migraine Disorders');
11625, 'C0149931', 'Migraine Disorders');
11627, 'C0149931', 'Migraine Disorders');
11628, 'C1838329', 'APLASIA CUTIS CONGENITA WITH EPIBULBAR DERMOIDS');
11630, 'C0016053', 'Fibromyalgia');
11633, 'C0029408', 'Degenerative polyarthritis');
11634, 'C0149931', 'Migraine Disorders');
11635, 'C0149931', 'Migraine Disorders');
11639, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11641, 'C0149931', 'Migraine Disorders');
11643, 'C0149931', 'Migraine Disorders');
11644, 'C0149931', 'Migraine Disorders');
11649, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11652, 'C0149931', 'Migraine Disorders');
11653, 'C0149931', 'Migraine Disorders');
11655, 'C0001144', 'Acne Vulgaris');
11658, 'C0003123', 'Anorexia');
11660, 'C0149931', 'Migraine Disorders');
11662, 'C0149931', 'Migraine Disorders');
11663, 'C0149931', 'Migraine Disorders');
11665, 'C0149931', 'Migraine Disorders');
11667, 'C0149931', 'Migraine Disorders');
11668, 'C0149931', 'Migraine Disorders');
11670, 'C0149931', 'Migraine Disorders');
11671, 'C0149931', 'Migraine Disorders');
11672, 'C0149931', 'Migraine Disorders');
11673, 'C0149931', 'Migraine Disorders');
11674, 'C1960870', 'Transformed migraine');
11675, 'C0149931', 'Migraine Disorders');
11677, 'C0149931', 'Migraine Disorders');
11678, 'C0149931', 'Migraine Disorders');
11679, 'C0149931', 'Migraine Disorders');
11680, 'C0149931', 'Migraine Disorders');
11681, 'C0149931', 'Migraine Disorders');
11682, 'C0149931', 'Migraine Disorders');
11683, 'C0149931', 'Migraine Disorders');
11688, 'C0149931', 'Migraine Disorders');
11692, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11693, 'C0149931', 'Migraine Disorders');
11694, 'C0016053', 'Fibromyalgia');
11695, 'C0149931', 'Migraine Disorders');
11699, 'C0149931', 'Migraine Disorders');
11700, 'C0026603', 'Motion Sickness');
11703, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11705, 'C0149931', 'Migraine Disorders');
11706, 'C0149931', 'Migraine Disorders');
11707, 'C0026603', 'Motion Sickness');
11708, 'C0272285', 'Heparin-induced thrombocytopenia');
11709, 'C0149931', 'Migraine Disorders');
11710, 'C0149931', 'Migraine Disorders');
11712, 'C0043352', 'Xerostomia');
11713, 'C0042029', 'Urinary tract infection');
11716, 'C0149931', 'Migraine Disorders');
11717, 'C0019360', 'Herpes zoster disease');
11718, 'C0744638', 'headache migraine chronic');
11720, 'C0152020', 'Gastroparesis');
11723, 'C0149931', 'Migraine Disorders');
11724, 'C0149931', 'Migraine Disorders');
11725, 'C0149931', 'Migraine Disorders');
11727, 'C0042029', 'Urinary tract infection');
11732, 'C0149931', 'Migraine Disorders');
11734, 'C0149931', 'Migraine Disorders');
11735, 'C0149931', 'Migraine Disorders');
11737, 'C0149931', 'Migraine Disorders');
11740, 'C0149931', 'Migraine Disorders');
11741, 'C0149931', 'Migraine Disorders');
11742, 'C0149931', 'Migraine Disorders');
11743, 'C0149931', 'Migraine Disorders');
11746, 'C0149931', 'Migraine Disorders');
11747, 'C0011175', 'Dehydration');
11755, 'C0149931', 'Migraine Disorders');
11761, 'C0277525', 'Infectious gastroenteritis');
11772, 'C0149931', 'Migraine Disorders');
11775, 'C0016053', 'Fibromyalgia');
11787, 'C0043352', 'Xerostomia');
11789, 'C0021400', 'Influenza');
11797, 'C0016053', 'Fibromyalgia');
11799, 'C0270724', 'Infantile Neuroaxonal Dystrophy');
11800, 'C0149931', 'Migraine Disorders');
11801, 'C0149931', 'Migraine Disorders');
11802, 'C0149931', 'Migraine Disorders');
11804, 'C0017168', 'Gastroesophageal reflux disease');
11805, 'C0036494', 'Seasickness');
11807, 'C0149931', 'Migraine Disorders');
11808, 'C0149931', 'Migraine Disorders');
11809, 'C0149931', 'Migraine Disorders');
11810, 'C0149931', 'Migraine Disorders');
11811, 'C0149931', 'Migraine Disorders');
11813, 'C0149931', 'Migraine Disorders');
11814, 'C0003123', 'Anorexia');
11815, 'C0149931', 'Migraine Disorders');
11816, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11818, 'C0149931', 'Migraine Disorders');
11819, 'C2979982', 'Vaginal Hemorrhage');
11821, 'C0149931', 'Migraine Disorders');
11822, 'C0149931', 'Migraine Disorders');
11823, 'C0149931', 'Migraine Disorders');
11824, 'C0149931', 'Migraine Disorders');
11825, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11829, 'C0149931', 'Migraine Disorders');
11831, 'C0038379', 'Strabismus');
11832, 'C0149931', 'Migraine Disorders');
11833, 'C0149931', 'Migraine Disorders');
11834, 'C0149931', 'Migraine Disorders');
11836, 'C0857495', 'sore nose');
11837, 'C0149931', 'Migraine Disorders');
11843, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11844, 'C0149931', 'Migraine Disorders');
11853, 'C0009443', 'Common Cold');
11854, 'C0149931', 'Migraine Disorders');
11855, 'C0149931', 'Migraine Disorders');
11857, 'C0149931', 'Migraine Disorders');
11858, 'C0149931', 'Migraine Disorders');
11859, 'C0149931', 'Migraine Disorders');
11860, 'C0149931', 'Migraine Disorders');
11861, 'C1960870', 'Transformed migraine');
11862, 'C0149931', 'Migraine Disorders');
11864, 'C0149931', 'Migraine Disorders');
11865, 'C0149931', 'Migraine Disorders');
11866, 'C0149931', 'Migraine Disorders');
11867, 'C0149931', 'Migraine Disorders');
11868, 'C0149931', 'Migraine Disorders');
11871, 'C0149931', 'Migraine Disorders');
11872, 'C0149931', 'Migraine Disorders');
11874, 'C0149931', 'Migraine Disorders');
11875, 'C0149931', 'Migraine Disorders');
11876, 'C0149931', 'Migraine Disorders');
11878, 'C0149931', 'Migraine Disorders');
11880, 'C0003123', 'Anorexia');
11881, 'C0149931', 'Migraine Disorders');
11882, 'C0149931', 'Migraine Disorders');
11883, 'C0149931', 'Migraine Disorders');
11884, 'C0149931', 'Migraine Disorders');
11885, 'C0149931', 'Migraine Disorders');
11886, 'C0149931', 'Migraine Disorders');
11887, 'C0149931', 'Migraine Disorders');
11888, 'C0149931', 'Migraine Disorders');
11889, 'C0149931', 'Migraine Disorders');
11890, 'C0149931', 'Migraine Disorders');
11891, 'C0149931', 'Migraine Disorders');
11892, 'C0149931', 'Migraine Disorders');
11893, 'C0149931', 'Migraine Disorders');
11895, 'C0149931', 'Migraine Disorders');
11897, 'C0149931', 'Migraine Disorders');
11898, 'C0149931', 'Migraine Disorders');
11899, 'C0149931', 'Migraine Disorders');
11900, 'C0149931', 'Migraine Disorders');
11901, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11902, 'C0149931', 'Migraine Disorders');
11903, 'C0149931', 'Migraine Disorders');
11905, 'C0149931', 'Migraine Disorders');
11908, 'C0149931', 'Migraine Disorders');
11909, 'C0149931', 'Migraine Disorders');
11910, 'C0149931', 'Migraine Disorders');
11913, 'C0003123', 'Anorexia');
11915, 'C0017168', 'Gastroesophageal reflux disease');
11919, 'C0149931', 'Migraine Disorders');
11921, 'C0149931', 'Migraine Disorders');
11922, 'C0149931', 'Migraine Disorders');
11923, 'C0149931', 'Migraine Disorders');
11924, 'C0149931', 'Migraine Disorders');
11925, 'C2349424', 'Rebound headache');
11926, 'C0149931', 'Migraine Disorders');
11927, 'C0149931', 'Migraine Disorders');
11928, 'C0149931', 'Migraine Disorders');
11929, 'C0149931', 'Migraine Disorders');
11930, 'C0149931', 'Migraine Disorders');
11931, 'C0149931', 'Migraine Disorders');
11935, 'C0021400', 'Influenza');
11936, 'C0877048', 'oral fungal infection');
11937, 'C0149931', 'Migraine Disorders');
11941, 'C0149931', 'Migraine Disorders');
11942, 'C0149931', 'Migraine Disorders');
11943, 'C0149931', 'Migraine Disorders');
11944, 'C0149931', 'Migraine Disorders');
11945, 'C0149931', 'Migraine Disorders');
11946, 'C0149931', 'Migraine Disorders');
11947, 'C0149931', 'Migraine Disorders');
11949, 'C0149931', 'Migraine Disorders');
11950, 'C0149931', 'Migraine Disorders');
11952, 'C0149931', 'Migraine Disorders');
11953, 'C0270862', 'Hemiplegic migraine');
11954, 'C0149931', 'Migraine Disorders');
11955, 'C0152020', 'Gastroparesis');
11957, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
11958, 'C0149931', 'Migraine Disorders');
11960, 'C0149931', 'Migraine Disorders');
11961, 'C0149931', 'Migraine Disorders');
11962, 'C0149931', 'Migraine Disorders');
11963, 'C0149931', 'Migraine Disorders');
11964, 'C0149931', 'Migraine Disorders');
11966, 'C0744638', 'headache migraine chronic');
11967, 'C0149931', 'Migraine Disorders');
11968, 'C0149931', 'Migraine Disorders');
11969, 'C0149931', 'Migraine Disorders');
11970, 'C0149931', 'Migraine Disorders');
11971, 'C0149931', 'Migraine Disorders');
11976, 'C0149931', 'Migraine Disorders');
11977, 'C0149931', 'Migraine Disorders');
11978, 'C0149931', 'Migraine Disorders');
11979, 'C0149931', 'Migraine Disorders');
11982, 'C0149931', 'Migraine Disorders');
11984, 'C0021400', 'Influenza');
11986, 'C0149931', 'Migraine Disorders');
11987, 'C0149931', 'Migraine Disorders');
11988, 'C0149931', 'Migraine Disorders');
11990, 'C0149931', 'Migraine Disorders');
11991, 'C0149931', 'Migraine Disorders');
11992, 'C0149931', 'Migraine Disorders');
11993, 'C0149931', 'Migraine Disorders');
11995, 'C0149931', 'Migraine Disorders');
11997, 'C0149931', 'Migraine Disorders');
11998, 'C0149931', 'Migraine Disorders');
12000, 'C0149931', 'Migraine Disorders');
12011, 'C0022650', 'Kidney Calculi');
12012, 'C1868649', 'PANIC DISORDER 1');
12017, 'C0003123', 'Anorexia');
12021, 'C0035078', 'Kidney Failure');
12023, 'C0151293', 'Chronic Headache');
12029, 'C0149931', 'Migraine Disorders');
12033, 'C0700438', 'Sick Headaches');
12044, 'C0022104', 'Irritable Bowel Syndrome');
12053, 'C0149931', 'Migraine Disorders');
12054, 'C0006277', 'Bronchitis');
12055, 'C0149931', 'Migraine Disorders');
12056, 'C0149931', 'Migraine Disorders');
12057, 'C0149931', 'Migraine Disorders');
12058, 'C0149931', 'Migraine Disorders');
12059, 'C0149931', 'Migraine Disorders');
12060, 'C0149931', 'Migraine Disorders');
12061, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12063, 'C1969653', 'MUNGAN SYNDROME');
12066, 'C0032460', 'Polycystic Ovary Syndrome');
12067, 'C0149931', 'Migraine Disorders');
12071, 'C0149931', 'Migraine Disorders');
12072, 'C0699744', 'Infection of ear');
12075, 'C0003123', 'Anorexia');
12076, 'C0016053', 'Fibromyalgia');
12082, 'C0006277', 'Bronchitis');
12088, 'C0152020', 'Gastroparesis');
12101, 'C0004135', 'Ataxia Telangiectasia');
12102, 'C0009443', 'Common Cold');
12103, 'C0272285', 'Heparin-induced thrombocytopenia');
12107, 'C0149931', 'Migraine Disorders');
12110, 'C0003123', 'Anorexia');
12115, 'C0149931', 'Migraine Disorders');
12120, 'C0149931', 'Migraine Disorders');
12121, 'C0149931', 'Migraine Disorders');
12123, 'C0149931', 'Migraine Disorders');
12124, 'C0149931', 'Migraine Disorders');
12126, 'C0149931', 'Migraine Disorders');
12127, 'C0149931', 'Migraine Disorders');
12128, 'C0149931', 'Migraine Disorders');
12129, 'C0149931', 'Migraine Disorders');
12131, 'C0149931', 'Migraine Disorders');
12132, 'C1535939', 'Pneumocystis jiroveci pneumonia');
12133, 'C0149931', 'Migraine Disorders');
12138, 'C0342208', 'Multinodular goiter');
12140, 'C0149931', 'Migraine Disorders');
12141, 'C0149931', 'Migraine Disorders');
12143, 'C0149931', 'Migraine Disorders');
12148, 'C0744638', 'headache migraine chronic');
12154, 'C0043352', 'Xerostomia');
12159, 'C0149931', 'Migraine Disorders');
12163, 'C0032285', 'Pneumonia');
12165, 'C0017168', 'Gastroesophageal reflux disease');
12166, 'C0042109', 'Urticaria');
12179, 'C0272285', 'Heparin-induced thrombocytopenia');
12180, 'C0036421', 'Systemic Scleroderma');
12182, 'C0038454', 'Cerebrovascular accident');
12183, 'C0019247', 'Hereditary Diseases');
12191, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12193, 'C0149931', 'Migraine Disorders');
12194, 'C0011175', 'Dehydration');
12202, 'C0149931', 'Migraine Disorders');
12208, 'C0339510', 'Vitelliform Macular Dystrophy');
12211, 'C0149931', 'Migraine Disorders');
12212, 'C0149931', 'Migraine Disorders');
12216, 'C0149931', 'Migraine Disorders');
12218, 'C0149931', 'Migraine Disorders');
12219, 'C0149931', 'Migraine Disorders');
12220, 'C0277525', 'Infectious gastroenteritis');
12221, 'C0149931', 'Migraine Disorders');
12222, 'C0012634', 'Disease');
12225, 'C0149931', 'Migraine Disorders');
12229, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12230, 'C1868649', 'PANIC DISORDER 1');
12231, 'C0004135', 'Ataxia Telangiectasia');
12233, 'C0026603', 'Motion Sickness');
12235, 'C0042029', 'Urinary tract infection');
12236, 'C0152128', 'Drug withdrawal syndrome');
12237, 'C0948873', 'flu symptoms');
12241, 'C0019202', 'Hepatolenticular Degeneration');
12247, 'C0149931', 'Migraine Disorders');
12248, 'C0149931', 'Migraine Disorders');
12250, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12253, 'C0033046', 'Premenstrual syndrome');
12255, 'C0004096', 'Asthma');
12257, 'C0149931', 'Migraine Disorders');
12264, 'C0149931', 'Migraine Disorders');
12265, 'C0149931', 'Migraine Disorders');
12281, 'C0277525', 'Infectious gastroenteritis');
12282, 'C0149931', 'Migraine Disorders');
12284, 'C0149931', 'Migraine Disorders');
12286, 'C0003123', 'Anorexia');
12288, 'C0149931', 'Migraine Disorders');
12291, 'C0149931', 'Migraine Disorders');
12292, 'C0003123', 'Anorexia');
12295, 'C0017168', 'Gastroesophageal reflux disease');
12300, 'C0270724', 'Infantile Neuroaxonal Dystrophy');
12301, 'C0149931', 'Migraine Disorders');
12303, 'C0149931', 'Migraine Disorders');
12304, 'C0149931', 'Migraine Disorders');
12305, 'C0012634', 'Disease');
12306, 'C0149931', 'Migraine Disorders');
12309, 'C0149931', 'Migraine Disorders');
12310, 'C0149931', 'Migraine Disorders');
12311, 'C0149931', 'Migraine Disorders');
12312, 'C0149931', 'Migraine Disorders');
12313, 'C0149931', 'Migraine Disorders');
12314, 'C0149931', 'Migraine Disorders');
12316, 'C0149931', 'Migraine Disorders');
12317, 'C0149931', 'Migraine Disorders');
12318, 'C0149931', 'Migraine Disorders');
12319, 'C0149931', 'Migraine Disorders');
12327, 'C0009443', 'Common Cold');
12329, 'C0011848', 'Diabetes Insipidus');
12332, 'C0043352', 'Xerostomia');
12333, 'C0149931', 'Migraine Disorders');
12334, 'C0149931', 'Migraine Disorders');
12335, 'C0236663', 'Alcohol withdrawal syndrome');
12336, 'C0149931', 'Migraine Disorders');
12337, 'C0149931', 'Migraine Disorders');
12338, 'C0149931', 'Migraine Disorders');
12339, 'C0149931', 'Migraine Disorders');
12340, 'C0149931', 'Migraine Disorders');
12341, 'C0149931', 'Migraine Disorders');
12342, 'C0149931', 'Migraine Disorders');
12343, 'C0149931', 'Migraine Disorders');
12344, 'C0149931', 'Migraine Disorders');
12345, 'C0149931', 'Migraine Disorders');
12346, 'C0149931', 'Migraine Disorders');
12347, 'C0149931', 'Migraine Disorders');
12349, 'C0149931', 'Migraine Disorders');
12351, 'C0149931', 'Migraine Disorders');
12352, 'C0149931', 'Migraine Disorders');
12355, 'C0149931', 'Migraine Disorders');
12361, 'C0149931', 'Migraine Disorders');
12362, 'C0149931', 'Migraine Disorders');
12364, 'C0149931', 'Migraine Disorders');
12365, 'C0149931', 'Migraine Disorders');
12366, 'C0149931', 'Migraine Disorders');
12367, 'C0149931', 'Migraine Disorders');
12368, 'C0149931', 'Migraine Disorders');
12370, 'C0149931', 'Migraine Disorders');
12371, 'C0149931', 'Migraine Disorders');
12372, 'C0149931', 'Migraine Disorders');
12373, 'C0149931', 'Migraine Disorders');
12374, 'C0149931', 'Migraine Disorders');
12375, 'C0149931', 'Migraine Disorders');
12376, 'C0149931', 'Migraine Disorders');
12377, 'C0149931', 'Migraine Disorders');
12383, 'C0149931', 'Migraine Disorders');
12384, 'C0149931', 'Migraine Disorders');
12386, 'C0002170', 'Alopecia');
12388, 'C0013364', 'Dysautonomia| Familial');
12389, 'C0149931', 'Migraine Disorders');
12391, 'C0149931', 'Migraine Disorders');
12394, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12395, 'C3670023', 'Ossification of collateral cartilage of distal phalanx of equine limb');
12397, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12398, 'C0149931', 'Migraine Disorders');
12399, 'C0149931', 'Migraine Disorders');
12400, 'C0149931', 'Migraine Disorders');
12402, 'C0149931', 'Migraine Disorders');
12403, 'C0149931', 'Migraine Disorders');
12404, 'C0149931', 'Migraine Disorders');
12409, 'C0149931', 'Migraine Disorders');
12411, 'C0035258', 'Restless Legs Syndrome');
12413, 'C0004135', 'Ataxia Telangiectasia');
12414, 'C0149931', 'Migraine Disorders');
12418, 'C0149931', 'Migraine Disorders');
12419, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12420, 'C0149931', 'Migraine Disorders');
12421, 'C0149931', 'Migraine Disorders');
12422, 'C0149931', 'Migraine Disorders');
12423, 'C0851578', 'Sleep Disorders');
12425, 'C0042029', 'Urinary tract infection');
12426, 'C0149931', 'Migraine Disorders');
12427, 'C0149931', 'Migraine Disorders');
12428, 'C0149931', 'Migraine Disorders');
12429, 'C0149931', 'Migraine Disorders');
12430, 'C0149931', 'Migraine Disorders');
12431, 'C0149931', 'Migraine Disorders');
12432, 'C0149931', 'Migraine Disorders');
12435, 'C0149931', 'Migraine Disorders');
12438, 'C0149931', 'Migraine Disorders');
12442, 'C0149931', 'Migraine Disorders');
12443, 'C0043352', 'Xerostomia');
12444, 'C0149931', 'Migraine Disorders');
12445, 'C0033046', 'Premenstrual syndrome');
12446, 'C0149931', 'Migraine Disorders');
12447, 'C0149931', 'Migraine Disorders');
12449, 'C0149931', 'Migraine Disorders');
12450, 'C0699744', 'Infection of ear');
12454, 'C0149931', 'Migraine Disorders');
12460, 'C0149931', 'Migraine Disorders');
12461, 'C0149931', 'Migraine Disorders');
12463, 'C0009443', 'Common Cold');
12469, 'C0149931', 'Migraine Disorders');
12471, 'C0149931', 'Migraine Disorders');
12476, 'C0149931', 'Migraine Disorders');
12477, 'C0149931', 'Migraine Disorders');
12478, 'C0149931', 'Migraine Disorders');
12479, 'C0149931', 'Migraine Disorders');
12480, 'C0149931', 'Migraine Disorders');
12481, 'C0744638', 'headache migraine chronic');
12482, 'C0149931', 'Migraine Disorders');
12483, 'C0149931', 'Migraine Disorders');
12486, 'C0149931', 'Migraine Disorders');
12488, 'C0149931', 'Migraine Disorders');
12490, 'C0149931', 'Migraine Disorders');
12491, 'C1969653', 'MUNGAN SYNDROME');
12493, 'C0021400', 'Influenza');
12502, 'C0277525', 'Infectious gastroenteritis');
12504, 'C0149931', 'Migraine Disorders');
12505, 'C0149931', 'Migraine Disorders');
12506, 'C0850139', 'Prolapsed cervical disc');
12507, 'C0149931', 'Migraine Disorders');
12508, 'C2349425', 'Hemicrania continua');
12510, 'C0149931', 'Migraine Disorders');
12514, 'C0149931', 'Migraine Disorders');
12515, 'C0149931', 'Migraine Disorders');
12519, 'C0149931', 'Migraine Disorders');
12520, 'C0149931', 'Migraine Disorders');
12523, 'C0041582', 'Ulcer');
12525, 'C0149931', 'Migraine Disorders');
12526, 'C0017168', 'Gastroesophageal reflux disease');
12529, 'C0149931', 'Migraine Disorders');
12535, 'C0149931', 'Migraine Disorders');
12537, 'C0149931', 'Migraine Disorders');
12540, 'C0154723', 'Migraine with Aura');
12543, 'C3661947', 'Daily headache');
12547, 'C0149931', 'Migraine Disorders');
12548, 'C0149931', 'Migraine Disorders');
12549, 'C0149931', 'Migraine Disorders');
12550, 'C0149931', 'Migraine Disorders');
12551, 'C0149931', 'Migraine Disorders');
12552, 'C0149931', 'Migraine Disorders');
12553, 'C0149931', 'Migraine Disorders');
12554, 'C0149931', 'Migraine Disorders');
12555, 'C1969653', 'MUNGAN SYNDROME');
12556, 'C0149931', 'Migraine Disorders');
12557, 'C0149931', 'Migraine Disorders');
12558, 'C0149931', 'Migraine Disorders');
12559, 'C0004135', 'Ataxia Telangiectasia');
12561, 'C0149931', 'Migraine Disorders');
12566, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12567, 'C0149931', 'Migraine Disorders');
12569, 'C3714506', 'Meckel syndrome type 1');
12572, 'C1847835', 'VITILIGO-ASSOCIATED MULTIPLE AUTOIMMUNE DISEASE SUSCEPTIBILITY 112573, 'C0149931', 'Migraine Disorders');
12575, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12576, 'C0149931', 'Migraine Disorders');
12577, 'C0149931', 'Migraine Disorders');
12578, 'C0149931', 'Migraine Disorders');
12580, 'C0149931', 'Migraine Disorders');
12581, 'C0149931', 'Migraine Disorders');
12584, 'C0003123', 'Anorexia');
12587, 'C0149931', 'Migraine Disorders');
12589, 'C1868649', 'PANIC DISORDER 1');
12592, 'C0240811', 'prostate infection');
12594, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12596, 'C0149931', 'Migraine Disorders');
12597, 'C0149931', 'Migraine Disorders');
12598, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12602, 'C0442874', 'Neuropathy');
12604, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12611, 'C0149931', 'Migraine Disorders');
12613, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12614, 'C0149871', 'Deep Vein Thrombosis');
12616, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12617, 'C0149931', 'Migraine Disorders');
12619, 'C0149931', 'Migraine Disorders');
12620, 'C0149931', 'Migraine Disorders');
12621, 'C0149931', 'Migraine Disorders');
12622, 'C0149931', 'Migraine Disorders');
12623, 'C0149931', 'Migraine Disorders');
12624, 'C0149931', 'Migraine Disorders');
12625, 'C0149931', 'Migraine Disorders');
12627, 'C0149931', 'Migraine Disorders');
12628, 'C0149931', 'Migraine Disorders');
12629, 'C0149931', 'Migraine Disorders');
12630, 'C0149931', 'Migraine Disorders');
12631, 'C0149931', 'Migraine Disorders');
12632, 'C0149931', 'Migraine Disorders');
12634, 'C0019360', 'Herpes zoster disease');
12635, 'C0149931', 'Migraine Disorders');
12636, 'C0149931', 'Migraine Disorders');
12637, 'C0149931', 'Migraine Disorders');
12638, 'C0149931', 'Migraine Disorders');
12639, 'C0149931', 'Migraine Disorders');
12640, 'C0149931', 'Migraine Disorders');
12641, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME');
12642, 'C0149931', 'Migraine Disorders');
12643, 'C0149931', 'Migraine Disorders');
12644, 'C0149931', 'Migraine Disorders');
12646, 'C0149931', 'Migraine Disorders');
12647, 'C0011860', 'Diabetes Mellitus| Non-Insulin-Dependent');
12648, 'C0149931', 'Migraine Disorders');
12649, 'C0236663', 'Alcohol withdrawal syndrome');
12650, 'C0149931', 'Migraine Disorders');
12651, 'C0149931', 'Migraine Disorders');
12653, 'C0149931', 'Migraine Disorders');
12655, 'C0149931', 'Migraine Disorders');
12656, 'C0149931', 'Migraine Disorders');
12658, 'C0149931', 'Migraine Disorders');
12659, 'C0004096', 'Asthma');
12660, 'C0149931', 'Migraine Disorders');
12663, 'C0149931', 'Migraine Disorders');
12664, 'C0149931', 'Migraine Disorders');
12665, 'C0149931', 'Migraine Disorders');
12666, 'C0149931', 'Migraine Disorders');
12667, 'C0149931', 'Migraine Disorders');
12668, 'C0149931', 'Migraine Disorders');
12669, 'C0149931', 'Migraine Disorders');
12671, 'C0149931', 'Migraine Disorders');
12672, 'C0004096', 'Asthma');
12673, 'C0149931', 'Migraine Disorders');
12676, 'C0149931', 'Migraine Disorders');
12677, 'C0149931', 'Migraine Disorders');
12678, 'C0149931', 'Migraine Disorders');
12679, 'C0149931', 'Migraine Disorders');
12680, 'C0521851', 'Normal drug tolerance');
12681, 'C0149931', 'Migraine Disorders');
12682, 'C0149931', 'Migraine Disorders');
12683, 'C1969653', 'MUNGAN SYNDROME');
12685, 'C0149931', 'Migraine Disorders');
12686, 'C0149931', 'Migraine Disorders');
12688, 'C0149931', 'Migraine Disorders');
12689, 'C0149931', 'Migraine Disorders');
12690, 'C0149931', 'Migraine Disorders');
12691, 'C0149931', 'Migraine Disorders');
