PostNumber, DiseaseId, DiseaseName, SymptomId, SymptomName, TreatmentId, TreatmentName, DrugId, DrugName, BodypartId, BodypartName3, 'C0032064', 'Plague', '', '', '', '', '', '', '', '
3, 'C0032064', 'Plague', 'C0221423', 'Illness3, 'C0032064', 'Plague', 'C0011991', 'Diarrhea', '', '', '', '', '', '
3, 'C0032064', 'Plague', 'C0009806', 'Constipation', '', '', '', '', '', '
1075, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1075, 'C0036916', 'Sexually Transmitted Diseases', 'C0240805', 'Prodrome', '', '', '', '', '', '
1075, 'C0036916', 'Sexually Transmitted Diseases', 'C0392171', 'Influenza-like symptoms', '', '', '', '', '', '
1075, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1075, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1076, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1076, 'C0036916', 'Sexually Transmitted Diseases', 'C0233973', 'Painful penile erection', '', '', '', '', '', '
1076, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1076, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0442965', 'Cosmetic procedure', '', '', '', '
1076, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
1076, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0222193', 'Skin of penis
1076, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1077, 'C0042029', 'Urinary tract infection', '', '', '', '', '', '', '', '
1077, 'C0042029', 'Urinary tract infection', 'C1446787', 'Cramping sensation quality', '', '', '', '', '', '
1077, 'C0042029', 'Urinary tract infection', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1079, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1079, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227936', 'Body of penis
1089, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1089, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152060', 'Transection1089, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
1089, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
1089, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1090, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1090, 'C0036916', 'Sexually Transmitted Diseases', 'C0015230', 'Exanthema', '', '', '', '', '', '
1090, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
1090, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1090, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152277', 'Incision and drainage', '', '', '', '
1090, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1285092', 'Gland
1090, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227952', 'Foreskin of penis
1091, 'C0009663', 'Condylomata Acuminata', '', '', '', '', '', '', '', '
1091, 'C0009663', 'Condylomata Acuminata', 'C1442877', 'Sore skin', '', '', '', '', '', '
1091, 'C0009663', 'Condylomata Acuminata', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1091, 'C0009663', 'Condylomata Acuminata', '', '', '', '', '', '', 'C0003461', 'Anus
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', '', '', '', '', '', '
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', 'C0204774', 'Soaking Procedure', '', '', '', '
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', '', '', '', '', 'C1281590', 'Entire head
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', '', '', '', '', 'C0033572', 'Prostate
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', '', '', '', '', 'C1550227', 'Body Parts - Canal
1092, 'C0272285', 'Heparin-induced thrombocytopenia', '', '', '', '', '', '', 'C1281573', 'Entire bladder
1093, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1093, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0036471', 'Scrotum
1093, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227997', 'Structure of right testis
1094, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1094, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1095, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1095, 'C0036916', 'Sexually Transmitted Diseases', 'C2242996', 'Has tingling sensation', '', '', '', '', '', '
1095, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1095, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0021485', 'Injection of therapeutic agent', '', '', '', '
1096, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1096, 'C0036916', 'Sexually Transmitted Diseases', 'C0849852', 'skin bump', '', '', '', '', '', '
1096, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
1097, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1097, 'C0036916', 'Sexually Transmitted Diseases', 'C0312414', 'Menstrual spotting', '', '', '', '', '', '
1097, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1098, 'C0019345', 'Herpes Labialis', '', '', '', '', '', '', '', '
1099, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1099, 'C0036916', 'Sexually Transmitted Diseases', 'C0013428', 'Dysuria', '', '', '', '', '', '
1099, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
1099, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0545924', 'penis and vagina
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0000737', 'Abdominal Pain', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0015230', 'Exanthema', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0423736', 'Scalding pain on urination', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0232861', 'Discharge from penis', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C1519433', 'Special Diet Therapy', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C1522704', 'Exercise Pain Management', '', '', '', '
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0042232', 'Vagina
1100, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227952', 'Foreskin of penis
1101, 'C0034341', 'Pyruvate Carboxylase Deficiency Disease', '', '', '', '', '', '', '', '
1104, 'C0004096', 'Asthma', '', '', '', '', '', '', '', '
1104, 'C0004096', 'Asthma', 'C0795691', 'HEART PROBLEM', '', '', '', '', '', '
1106, 'C1135196', 'Heart Failure| Diastolic', '', '', '', '', '', '', '', '
1109, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1110, 'C0878544', 'Cardiomyopathies', '', '', '', '', '', '', '', '
1112, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1112, 'C0036916', 'Sexually Transmitted Diseases', 'C0242429', 'Sore Throat', '', '', '', '', '', '
1113, 'C0269017', 'Pearly penile papules', '', '', '', '', '', '', '', '
1113, 'C0269017', 'Pearly penile papules', 'C0030193', 'Pain', '', '', '', '', '', '
1113, 'C0269017', 'Pearly penile papules', '', '', '', '', '', '', 'C1285092', 'Gland
1114, 'C0038454', 'Cerebrovascular accident', '', '', '', '', '', '', '', '
1114, 'C0038454', 'Cerebrovascular accident', 'C0235108', 'Feeling tense', '', '', '', '', '', '
1114, 'C0038454', 'Cerebrovascular accident', '', '', 'C1963578', 'Release1114, 'C0038454', 'Cerebrovascular accident', '', '', '', '', '', '', 'C0030851', 'penis
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1115, 'C0036916', 'Sexually Transmitted Diseases', 'C0085624', 'Burning sensation', '', '', '', '', '', '
1115, 'C0036916', 'Sexually Transmitted Diseases', 'C2032151', 'Pain in bilateral legs', '', '', '', '', '', '
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0014533', 'Epididymis
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281586', 'Entire thigh
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227952', 'Foreskin of penis
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281594', 'Entire abdomen
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1278981', 'Entire testis
1115, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1116, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1116, 'C0036916', 'Sexually Transmitted Diseases', 'C0278144', 'Dull pain', '', '', '', '', '', '
1116, 'C0036916', 'Sexually Transmitted Diseases', 'C2242996', 'Has tingling sensation', '', '', '', '', '', '
1116, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
1116, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1116, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0423866', 'Lanugo
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0700589', 'Contraceptive methods', '', '', '', '
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0042232', 'Vagina
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227759', 'Labium
1117, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0007874', 'Cervix Uteri
1118, 'C0014534', 'Epididymitis', '', '', '', '', '', '', '', '
1118, 'C0014534', 'Epididymitis', 'C0231617', 'Catch - Finding of sensory dimension of pain', '', '', '', '', '', '
1118, 'C0014534', 'Epididymitis', 'C0085624', 'Burning sensation', '', '', '', '', '', '
1118, 'C0014534', 'Epididymitis', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1118, 'C0014534', 'Epididymitis', '', '', 'C0021485', 'Injection of therapeutic agent', '', '', '', '
1118, 'C0014534', 'Epididymitis', '', '', '', '', '', '', 'C0039597', 'Testis
1119, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1119, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1119, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1119, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0041967', 'Urethra
1120, 'C0027051', 'Myocardial Infarction', '', '', '', '', '', '', '', '
1120, 'C0027051', 'Myocardial Infarction', '', '', 'C1706711', 'Additional Surgical Procedure', '', '', '', '
1120, 'C0027051', 'Myocardial Infarction', '', '', 'C0741847', 'Bypass', '', '', '', '
1120, 'C0027051', 'Myocardial Infarction', '', '', 'C1536078', 'Bypass Surgery', '', '', '', '
1120, 'C0027051', 'Myocardial Infarction', '', '', '', '', '', '', 'C0042449', 'Veins
1124, 'C0027051', 'Myocardial Infarction', '', '', '', '', '', '', '', '
1124, 'C0027051', 'Myocardial Infarction', '', '', '', '', '', '', 'C0018787', 'Heart
1128, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1128, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
1128, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0184933', 'Scraping', '', '', '', '
1128, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0018563', 'Hand
1128, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0041638', 'Umbilicus1129, 'C0019340', 'herpes', '', '', '', '', '', '', '', '
1129, 'C0019340', 'herpes', 'C0033774', 'Pruritus', '', '', '', '', '', '
1129, 'C0019340', 'herpes', 'C0030193', 'Pain', '', '', '', '', '', '
1129, 'C0019340', 'herpes', '', '', '', '', '', '', 'C1281590', 'Entire head
1129, 'C0019340', 'herpes', '', '', '', '', '', '', 'C0030851', 'penis
1129, 'C0019340', 'herpes', '', '', '', '', '', '', 'C1280739', 'Entire penis
1130, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1130, 'C0036916', 'Sexually Transmitted Diseases', 'C0242429', 'Sore Throat', '', '', '', '', '', '
1130, 'C0036916', 'Sexually Transmitted Diseases', 'C0018681', 'Headache', '', '', '', '', '', '
1130, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1130, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280698', 'Entire throat1131, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1131, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1269612', 'Entire upper arm
1132, 'C0019345', 'Herpes Labialis', '', '', '', '', '', '', '', '
1132, 'C0019345', 'Herpes Labialis', 'C0848290', 'sick to stomach', '', '', '', '', '', '
1133, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1133, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0039597', 'Testis
1133, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280740', 'Entire scrotum
1134, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1134, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
1134, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1134, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1139, 'C0012634', 'Disease', '', '', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', '', '', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', 'C0011991', 'Diarrhea', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', 'C0008031', 'Chest Pain', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', 'C0009806', 'Constipation', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', 'C0030193', 'Pain', '', '', '', '', '', '
1141, 'C0581360', 'Bleeding diverticulosis', '', '', 'C0184661', 'Interventional procedure', '', '', '', '
1143, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', '', '', '', '', '', '', '', '
1145, 'C0404521', 'Infective vaginitis', '', '', '', '', '', '', '', '
1145, 'C0404521', 'Infective vaginitis', 'C0683369', 'Clouded consciousness', '', '', '', '', '', '
1145, 'C0404521', 'Infective vaginitis', '', '', 'C0021485', 'Injection of therapeutic agent', '', '', '', '
1145, 'C0404521', 'Infective vaginitis', '', '', 'C0087111', 'Therapeutic procedure', '', '', '', '
1146, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1146, 'C0036916', 'Sexually Transmitted Diseases', 'C0026821', 'Muscle Cramp', '', '', '', '', '', '
1146, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0006141', 'Breast
1147, 'C0019340', 'herpes', '', '', '', '', '', '', '', '
1147, 'C0019340', 'herpes', '', '', 'C0184958', 'Toilet procedure', '', '', '', '
1148, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1148, 'C0036916', 'Sexually Transmitted Diseases', 'C0033774', 'Pruritus', '', '', '', '', '', '
1148, 'C0036916', 'Sexually Transmitted Diseases', 'C0085624', 'Burning sensation', '', '', '', '', '', '
1148, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227766', 'labium minus
1149, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1149, 'C0036916', 'Sexually Transmitted Diseases', 'C0010200', 'Coughing', '', '', '', '', '', '
1149, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1149, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030797', 'Pelvis
1149, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0262201', 'Area X
1149, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0021853', 'Intestines
1150, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1151, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1152, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1152, 'C0036916', 'Sexually Transmitted Diseases', 'C0278148', 'Throbbing pain', '', '', '', '', '', '
1153, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1153, 'C0036916', 'Sexually Transmitted Diseases', 'C0232861', 'Discharge from penis', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', 'C0016204', 'Flatulence', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', 'C0278145', 'Stabbing pain', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', 'C0015230', 'Exanthema', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', 'C0455270', 'Sharp pain', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152277', 'Incision and drainage', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0184933', 'Scraping', '', '', '', '
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0039597', 'Testis
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281590', 'Entire head
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1281584', 'Entire finger
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1995013', 'Set of muscles
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0037949', 'Vertebral column
1154, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0934502', 'anatomical layer
1156, 'C0041912', 'Upper Respiratory Infections', '', '', '', '', '', '', '', '
1156, 'C0041912', 'Upper Respiratory Infections', 'C0040822', 'Tremor', '', '', '', '', '', '
1156, 'C0041912', 'Upper Respiratory Infections', 'C0024902', 'Mastodynia', '', '', '', '', '', '
1156, 'C0041912', 'Upper Respiratory Infections', 'C0085593', 'Chills', '', '', '', '', '', '
1156, 'C0041912', 'Upper Respiratory Infections', '', '', '', '', '', '', 'C0229967', 'Structure of left half of body
1162, 'C0020538', 'Hypertensive disease', '', '', '', '', '', '', '', '
1162, 'C0020538', 'Hypertensive disease', 'C0008031', 'Chest Pain', '', '', '', '', '', '
1162, 'C0020538', 'Hypertensive disease', '', '', '', '', '', '', 'C0015392', 'Eye
1165, 'C0018081', 'Gonorrhea', '', '', '', '', '', '', '', '
1165, 'C0018081', 'Gonorrhea', '', '', '', '', '', '', 'C0030851', 'penis
1166, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1167, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1167, 'C0036916', 'Sexually Transmitted Diseases', 'C0557875', 'Tired', '', '', '', '', '', '
1167, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C3687832', 'DRUGS', '', '', '', '
1167, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1168, 'C0026848', 'Myopathy', '', '', '', '', '', '', '', '
1168, 'C0026848', 'Myopathy', '', '', 'C0189745', 'Open heart surgery', '', '', '', '
1168, 'C0026848', 'Myopathy', '', '', '', '', '', '', 'C0018787', 'Heart
1168, 'C0026848', 'Myopathy', '', '', '', '', '', '', 'C0022646', 'Kidney
1168, 'C0026848', 'Myopathy', '', '', '', '', '', '', 'C0040746', 'Structure of transplanted liver
1169, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1169, 'C0036916', 'Sexually Transmitted Diseases', 'C0849850', 'blotch', '', '', '', '', '', '
1169, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227936', 'Body of penis
1169, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0227952', 'Foreskin of penis
1171, 'C0263492', 'Pili incarnati1171, 'C0263492', 'Pili incarnati1172, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1172, 'C0036916', 'Sexually Transmitted Diseases', 'C0497481', 'Pain in penis', '', '', '', '', '', '
1172, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1173, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1173, 'C0036916', 'Sexually Transmitted Diseases', 'C0948396', 'Frequent headache', '', '', '', '', '', '
1173, 'C0036916', 'Sexually Transmitted Diseases', 'C0030193', 'Pain', '', '', '', '', '', '
1173, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0700589', 'Contraceptive methods', '', '', '', '
1173, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0042232', 'Vagina
1173, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0041967', 'Urethra
1174, 'C0004623', 'Bacterial Infections', '', '', '', '', '', '', '', '
1174, 'C0004623', 'Bacterial Infections', '', '', '', '', '', '', 'C1281583', 'Entire hand
1176, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1176, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1180, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', '', '', '', '', '', '', '', '
1180, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', 'C0018834', 'Heartburn', '', '', '', '', '', '
1180, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', 'C0008031', 'Chest Pain', '', '', '', '', '', '
1180, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', 'C0030193', 'Pain', '', '', '', '', '', '
1180, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', '', '', '', '', '', '', 'C1269612', 'Entire upper arm
1184, 'C0023211', 'Left Bundle-Branch Block', '', '', '', '', '', '', '', '
1186, 'C0025322', 'Premature Menopause', '', '', '', '', '', '', '', '
1186, 'C0025322', 'Premature Menopause', 'C0231218', 'Malaise', '', '', '', '', '', '
1186, 'C0025322', 'Premature Menopause', '', '', '', '', '', '', 'C1278985', 'Entire vagina
1187, 'C0019340', 'herpes', '', '', '', '', '', '', '', '
1187, 'C0019340', 'herpes', 'C0033774', 'Pruritus', '', '', '', '', '', '
1187, 'C0019340', 'herpes', '', '', 'C0150141', 'Bathing', '', '', '', '
1187, 'C0019340', 'herpes', '', '', '', '', '', '', 'C1305636', 'Entire hair of pubis
1188, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1188, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0886384', '5 minutes Office visit', '', '', '', '
1189, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1189, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1190, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1190, 'C0036916', 'Sexually Transmitted Diseases', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1190, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1191, 'C0041834', 'Erythema', '', '', '', '', '', '', '', '
1191, 'C0041834', 'Erythema', 'C0234233', 'Sore to touch', '', '', '', '', '', '
1191, 'C0041834', 'Erythema', '', '', '', '', '', '', 'C1281590', 'Entire head
1191, 'C0041834', 'Erythema', '', '', '', '', '', '', 'C0030851', 'penis
1192, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1193, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1194, 'C0036916', 'Sexually Transmitted Diseases', 'C0518179', 'Change in voice1194, 'C0036916', 'Sexually Transmitted Diseases', 'C0497406', 'Overweight', '', '', '', '', '', '
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0522772', 'Shaving - surgical procedure', '', '', '', '
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0185051', 'Removal by grinding', '', '', '', '
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0030851', 'penis
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0034014', 'Bone structure of pubis
1194, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C0221980', 'Structure of hair of face
1195, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1196, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', '', '
1196, 'C0036916', 'Sexually Transmitted Diseases', '', '', 'C0152054', 'Therapeutic tactile stimulation', '', '', '', '
1196, 'C0036916', 'Sexually Transmitted Diseases', '', '', '', '', '', '', 'C1280739', 'Entire penis
1199, 'C0039240', 'Supraventricular tachycardia', '', '', '', '', '', '', '', '
1201, 'C0684275', 'Hemophilia| NOS', '', '', '', '', '', '', '', '
1201, 'C0684275', 'Hemophilia| NOS', 'C0039070', 'Syncope', '', '', '', '', '', '
1201, 'C0684275', 'Hemophilia| NOS', '', '', 'C3687832', 'DRUGS', '', '', '', '
1201, 'C0684275', 'Hemophilia| NOS', '', '', '', '', '', '', 'C0033572', 'Prostate
1202, 'C3280240', 'MICROCEPHALY| EPILEPSY| AND DIABETES SYNDROME', '', '', '', '', '', '', '', '
